user_id,id,playcount,rating,genre,name,artist
user_00001,37soHIEtd2aminmS9w6CcF,19,2.6,edm,Better Off,Flux Pavilion
user_00001,6CROigbXqA9OAKxmVIfxnk,25,2.7,classical,FFVII REMAKE: Anxiety,Nobuo Uematsu
user_00001,3YGtyDvRP7aMwAwHI3FwHa,26,3.1,latin,tres tristes tragos,Young Miko
user_00001,1xeirnmUAe86uZTUOIjmgL,21,2.6,latin,23 til infinity,They Are Gutting a Body of Water
user_00001,6aYjxfCm15W0ez6rCa0XZL,27,2.7,rock,Snap Back,Twenty One Pilots
user_00001,6YuJzx4yiTMhia4aM1M9kU,12,3.1,kpop,Champagne,Epik High
user_00001,3VtSWKMCw993VeB0qoEkM8,5,1.1,edm,Wani Wachiyelo,CVBZ
user_00001,3TknA1mVqvo11NTNVuiELk,18,3.1,indie,In A Good Way,Faye Webster
user_00001,5xHodqknQtgokj6oO1giHb,12,2.9,hiphop,NO DRIBBLE (feat. Stunna 4 Vegas),DaBaby
user_00001,0CyhLA1qjIinJAGnJYk1oK,22,2.8,rock,"Baby, It's Cold Outside",Ray Charles
user_00001,7hDvcL88hXoofWcxPGmBpW,14,3.1,pop,LIFETIMES,Katy Perry
user_00001,0BeqHPNJSLzfH8TZ7Adpb3,24,3.2,kpop,Lose My Breath (Feat. Charlie Puth) (Soft Garage Ver.),Stray Kids
user_00001,6kSPwMUYpnBDIWViA3MKMT,21,3.1,hiphop,Get Money,Lil Baby
user_00001,1bFgMkoazsyZGSflpCzYm6,19,2.7,latin,La Bendicion,Farruko
user_00001,1FiuRddsTkHDtmPO9xTkg2,11,3.1,jazz,What You Saw Was A Lie,Kris Bowers
user_00001,2YOGCTiPJWMhZRdeadFj8G,20,3.1,indie,"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long / FAST X Soundtrack)",JVKE
user_00001,2zHbgdtai9PfsWnIIN8qzR,23,3.1,rock,The Wheel,IDLES
user_00001,7yKjDDd9w01nFEOD5adoHq,28,3.0,hiphop,Do I - Remix,Phyno
user_00001,0bndF6tTweNXPjwpPL7Slt,26,3.2,indie,Birdcage,Novo Amor
user_00001,1tL38PwWYelt7UrUJlyPP3,19,2.7,classical,Jesus - Live Set,Sarai Rivera
user_00001,2WJmMgX8Bs8aOBdlgPiUpG,29,2.9,latin,Tu Presencia,Alex Campos
user_00001,0EtWQQ0qyIsYvpYc4tjQtn,14,3.4,classical,"Requiem in D Minor, K. 626: VII. Agnus Dei (Chorus)",Wolfgang Amadeus Mozart
user_00001,2E0bqoMlIb2xmFyZHRjtzK,11,2.9,pop,Water Under The Bridge,Sam Hunt
user_00001,46cgcwt80u5CaiqHu361UH,13,3.4,kpop,Singularity,BTS
user_00001,7Fege3yv4dvehB3NdRBGwI,19,2.6,hiphop,missing me,Gunna
user_00001,5odlY52u43F5BjByhxg7wg,50,4.3,indie,golden hour - Fujii Kaze Remix,JVKE
user_00001,0O2GtSCle8Eujbc1Voh2VY,30,3.3,ipop,Bukti,Virgoun
user_00001,1SAhmGC8ZpS967nd3PJBq0,19,2.7,jazz,Get Lucky - Nikko Mad Remix,Karen Souza
user_00001,6DDZWd2rlvdK2h0q1dNjye,23,2.7,rock,About Love - From The Netflix Film To All The Boys: P.S. I Still Love You,MARINA
user_00001,1JNv9ICYbayNgqm8fKPLqP,21,3.5,pop,Hey Boy (feat. Kali Uchis),Omar Apollo
user_00001,0Pqix0NTfbuROfPbaZbBgp,30,3.1,hiphop,WYD (with GloRilla & Big Boogie),Moneybagg Yo
user_00001,4y6avDOMg27PS7n71aOZZB,18,2.6,latin,Betty,Eladio Carrion
user_00001,33Va5mHYSweB26k0OsZAdu,19,3.3,latin,Perdiendo la Cabeza,Carlos Rivera
user_00001,4wa5SqWwrdm1TRdaO3GdtJ,12,2.6,rock,Paint The World,Seether
user_00001,70uX4beGHc1nQikXveOknp,23,3.3,latin,Horizons,Manuel Zito
user_00001,4s2SSnOOVF3FtgcxNx6fFk,30,3.1,rnb,Bad Morning,YoungBoy Never Broke Again
user_00001,5EcGSkkNBMAWOePvLgKde1,29,2.9,indie,i hope she loves me back,boy pablo
user_00001,2ArFvzWBFSIz1bQMTStJIA,29,2.5,latin,Four Twenty,Malaa
user_00001,0UKEtO76n81N1eOBpiqnk8,28,2.6,edm,Caught Up (feat. Olivia O'Brien) - Zack Martino x Leondis Remix,Gryffin
user_00001,3iebfHmYMs8dUcAC5qSQ8Y,22,3.1,rock,Don't Tell Me (feat. Ann Wilson),Disturbed
user_00001,12qzMeZKA8iNp8ypBh4KwQ,7,1.8,classical,While Puppies Sleep,Holly Jones
user_00001,1xaLyNaaZC3i5tmaDAWP76,13,3.0,kpop,CRAZY (EBM Remix),LE SSERAFIM
user_00001,6KGIsMz0XWKKNbgUJNN1ET,29,2.8,jazz,Beautiful Stranger,Marcus King
user_00001,5Vi4wnQLLs4zZSpnngTbEE,10,1.2,indie,Tonight (Was A Long Time Ago),Jack White
user_00001,2KuqOQdLea52Us5XWcmMdp,20,3.2,latin,Te Vi,Mon Laferte
user_00002,5j27wmzAbFOs1MGxuG8fNn,19,2.6,jazz,waterlily,Mozzie
user_00002,5YP7oTeyFqqcUniBKsZ4i9,29,2.7,kpop,BEBE,Era Istrefi
user_00002,6aIrXGmaFqPafbYgxbMUsj,14,3.1,rock,Fancy Like,Walker Hayes
user_00002,4igEnj8VAz6VNjkjtEXdy8,20,3.4,jazz,Sainz de la Maza: La frontera de Dios: V. Sacrificio,Regino Sainz de la Maza
user_00002,53ZFXeLR3tJKSN97nTf8QP,11,3.4,jazz,De La Nada - Remix,Rokero
user_00002,1hAK8iw0vCvRSlQQ6kxol8,28,2.7,latin,Dia De Pago,Ovi
user_00002,1mAfZYkVfwcPuqqPJZ1Opu,22,3.0,indie,Homesick,Noah Kahan
user_00002,3uTVtGh12I4FCnLX4pGJAs,7,1.9,classical,Still (Arr. Lawson),Ola Gjeilo
user_00002,1udwFobQ1JoOdWPQrp2b6u,45,4.2,hiphop,Beneath the Willow,Jim Perkins
user_00002,3dtHqxH2KcugvluPWSyG7m,29,2.7,latin,PASAJERO,Mora
user_00002,7mYKxi4gqlSweFg2xigZ1w,26,2.9,rock,Something To Hide,grandson
user_00002,6gDWKVUuk9P01YTNow2kiP,13,3.4,kpop,Oh (Yes I Am),LOONA
user_00002,0j8ppsOOawdPCJnSTcXgOy,16,3.0,hiphop,Human (feat. Night Lovell),$NOT
user_00002,2JNaqjOm7jHePMdr6WIadg,20,3.0,hiphop,Belt2Ass,Lil Durk
user_00002,6ymBqDImXK5whaMxqynqX8,24,2.9,rock,See Me Through It,Brandon Heath
user_00002,1VsHc0qIeyjYOyvN5HIEQG,18,3.1,latin,3 de Abril,Anuel AA
user_00002,3bHk6W0zqo8CxnPVMuMCyb,20,2.6,latin,Cute Shirt (Interlude),Malcolm Todd
